ANNO,NO_DIABETE,NO_IPERTENSIONE,NO_M_TUMORI ,NO_FUMATORI,NO_ECCESSO_PESO,NO_ALCOOL,NE_DIABETE,NE_IPERTENSIONE,NE_M_TUMORI ,NE_FUMATORI,NE_ECCESSO_PESO,NE_ALCOOL,CE_DIABETE,CE_IPERTENSIONE,CE_M_TUMORI ,CE_FUMATORI,CE_ECCESSO_PESO,CE_ALCOOL,SU_DIABETE,SU_IPERTENSIONE,SU_M_TUMORI,SU_FUMATORI,SU_ECCESSO_PESO,SU_ALCOOL,IS_DIABETE,IS_IPERTENSIONE,IS_M_TUMORI,IS_FUMATORI,IS_ECCESSO_PESO,IS_ALCOOL
1990,2.7,6.5,47007,28.1,31.5,,2.6,7.2,35274,25.3,36.7,,3.3,6.5,30982,28.2,37.6,,2.9,5,24688,27.9,38.8,,2.8,4.9,12441,27.1,34.5,
1991,,,47436,,,,,,35843,,,,,,31778,,,,,,25537,,,,,,12671,,,
1992,,,47716,,,,,,35489,,,,,,31631,,,,,,26277,,,,,,12935,,,
1993,2.9,10.6,48438,25.6,,8.9,2.7,9.6,36414,23.5,,8.4,3.9,10.9,32173,26.4,,8.7,3.9,9.5,26433,25.6,,7.7,3.4,9.3,13255,26.2,,3.6
1994,3.1,10.2,48629,25.2,34.9,7.5,3.1,9.5,36335,22.3,38.7,8.2,3.5,10.3,32589,26.7,38.1,6.8,3.7,9.2,27441,25,44.9,6.4,3.5,9.3,13675,26.6,43.2,3.6
1995,2.9,10.1,48106,26.9,,8.1,3.2,11.4,35956,23.9,,7.4,3.6,10.5,31603,26.1,,7.3,4,9.7,27336,24.6,,6,3.6,9.4,13354,23.9,,3.6
1996,3,11,48570,26.4,,,3,11,36366,24.5,,,3.7,10.5,32207,27.9,,,3.7,9.6,28049,25.2,,,4,8.8,13796,26.7,,
1997,3,10.4,48589,26.5,,7.3,3.1,10.7,35960,22.6,,6.6,3.5,10.3,32449,25.9,,6.9,3.8,10.2,28418,24.4,,5.2,4.1,9.1,14009,24.3,,3.2
1998,2.8,10.2,48459,23.8,,6,2.7,11.3,36422,23.5,,6.3,3.9,10.8,32885,27,,5.8,4.4,9.8,29344,23.6,,5.2,4.1,9.4,14302,25,,2.8
1999,3.1,11.5,48808,24.2,,6.3,3.5,11.8,36586,23.1,,6.6,3.6,11,32527,25.8,,5.2,3.7,10.8,29048,24.3,,4.7,3.8,10.2,14024,25.5,,2.2
2000,3.3,12.9,48431,23.5,38.3,6.1,3.1,11.7,36769,23,42.3,6.6,4.2,12.3,33330,25.6,40.4,5.8,4.5,12.1,29727,24.2,47.8,5.9,3.5,11.1,14430,24.5,44.2,3.2
2001,3.3,11.3,50508,23.5,37.9,5.5,3.5,12.4,37205,22.3,42.6,5.7,4.1,11.8,33712,26.1,40.9,6,4.5,11.9,30605,23.4,47.3,5.3,4.1,11.2,14874,23.8,45.4,3.1
2002,3.5,12.1,49665,25.3,38.4,5.6,3.8,12.7,37095,22.7,41.3,5.7,4,12.8,33458,24.9,40.9,6,4.1,12.9,30415,22,46.2,4.9,4.1,12.2,14915,23.3,44.9,3.4
2003,3.2,13,50872,24.5,38.5,5,3.3,13,37792,23.5,42.6,5.5,4.1,13.4,34866,25,41.7,5.2,4.7,12.6,31161,23,46.6,3.6,4.3,11.9,15106,23.6,45.6,2.2
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,3.7,14.6,,22.4,39.1,5.3,4.1,14,,20.3,44.7,4.6,4.1,13.2,,23.3,43.9,5.2,4.8,14,,22,50.6,4.5,4.4,12.7,,22.1,46.4,2.4
2006,4.1,13.8,50402,22,40.7,4.8,3.7,13.8,38001,21.6,45.3,4.6,4.5,15.2,35009,23.8,44.5,4.6,5,14.2,32073,22.7,50.1,4,5.5,14.3,15867,24.5,46.5,2.1
2007,4,14.5,51194,22.1,40.9,4.3,3.9,15.5,38390,20.3,44.1,4.3,4.4,15,35700,23.5,44.2,4.6,5.5,15.7,32649,22.5,50.9,4.2,5.7,16.2,16359,22.2,49.8,2.3
2008,3.5,15.9,51531,21.7,42.3,4.1,4.4,16.1,38276,21.7,44,3.6,5.3,15.4,36039,22.6,44.5,3.9,5.8,15.8,33132,22.8,50.3,3.6,5.6,15.4,16430,22.4,47.1,2.3
2009,4.5,16,52451,23.2,42.7,3.8,3.8,15.6,38508,22.8,45.6,4,4.9,15.6,36378,24.3,45.5,3.9,5.6,15.8,33239,21.8,50.8,3,5.3,15.8,16757,23.5,48.6,1.7
2010,4.4,15.7,52270,22.4,41.7,3.8,4.4,16.6,38464,21.1,45.5,3.9,4.8,15.8,36167,24.7,45.2,3.5,5.8,16,33899,23.5,51.2,3.1,5.1,16,16938,22.4,47.8,1.7
2011,4.1,15.9,52088,22.6,41.9,3.5,3.9,15.7,38664,19.9,46.1,3.2,5.1,16.5,36256,24.6,44.4,3.3,6.3,16,34459,21.9,50.9,3,5.4,16.2,17162,21.9,46.6,1.5
2012,5.2,17.4,52462,22,42.7,2.6,4.6,15.9,38701,20.2,44.4,3,5.6,15.3,36888,22.6,44.4,2.7,6.4,16.9,34616,21.9,51.4,2.4,5.6,16.9,17423,23.2,47.7,1.9
2013,4.8,16.1,52044,20.5,41.6,3,4.4,16.2,38350,19.4,44.8,3,5.2,17.1,36508,22.5,45.2,2.7,6.9,18,34646,20.6,50.9,2.3,6,16.6,17366,21.9,48.3,1.4
